,pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid,area_list,old_new
0,$4990,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,11.6236,grey,,automatic,sedan,1,4990,8.5151911,2007,11,2.4530375,0,0,0,1,chicago,old
1,$10625,chicago,chicago city,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,4.3702,grey,,automatic,sedan,1,10625,9.2709646,2009,9,1.4748088,0,0,0,1,chicago,old
2,$14850,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,,gas,3.5721,,,automatic,sedan,1,14850,9.605754899999999,2015,3,1.2731537,0,0,0,0,chicago,new
3,$15630,chicago,chicago city,2016 TOYOTA CAMRY,,,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.656947099999998,2016,2,0.27398875,0,0,0,0,chicago,new
4,$850,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.7452364000000005,1993,25,2.9285235000000003,0,0,0,0,chicago,old
5,$1300,chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,16.82425880432129,grey,,automatic,,0,1300,7.1701198,1998,20,2.8228218999999997,0,0,0,0,chicago,old
6,$1600,chicago,chicago city,1998 toyota camry le,,,,gas,16.82425880432129,,,automatic,,0,1600,7.377758999999999,1998,20,2.8228218999999997,1,0,0,0,chicago,old
7,$1500,chicago,chicago city,1998 Toyota Camry,,,,gas,16.82425880432129,,,automatic,,0,1500,7.3132205,1998,20,2.8228218999999997,0,0,0,0,chicago,old
8,$1650,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,chicago,old
9,$2295,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.7384882,2000,18,2.3702438,1,0,0,0,chicago,old
10,$1650,chicago,chicago city,2002 toyota camry solara,,6 cylinders,fwd,gas,16.0,black,,automatic,,0,1650,7.4085307,2002,16,2.7725887000000005,0,0,0,0,chicago,old
11,$3500,chicago,chicago city,2002 toyota camry,,,,gas,14.32672119140625,,,automatic,,0,3500,8.1605186,2002,16,2.6621262999999997,0,0,0,0,chicago,old
12,$1100,chicago,chicago city,2003 Toyota CAMRY XLE,,,,gas,14.08167171478272,white,,automatic,,0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,chicago,old
13,$3800,chicago,chicago city,2003 toyota camry,,4 cylinders,,gas,11.9,,,automatic,,0,3800,8.2427559,2003,15,2.4765384,0,0,0,0,chicago,old
14,$2950,chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,,0,2950,7.9895606,2004,14,2.8154087000000003,0,1,0,0,chicago,old
15,$4200,chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.3428402,2005,13,2.488658,1,0,0,0,chicago,old
16,$5799,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,hybrid,15.9,silver,,automatic,sedan,0,5799,8.6654406,2007,11,2.7663189999999998,0,0,0,1,chicago,old
17,$4500,chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.626930236816412,silver,full-size,automatic,sedan,0,4500,8.4118328,2007,11,2.4533241,0,0,0,0,chicago,old
18,$4000,chicago,chicago city,2007 Toyota camry,,,,gas,11.626930236816412,,,automatic,,0,4000,8.294049300000001,2007,11,2.4533241,0,0,0,0,chicago,old
19,$6000,chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,,0,6000,8.6995144,2007,11,2.3223877,0,0,1,0,chicago,old
20,$5999,chicago,chicago city,2007 toyota camry xle,,,,gas,11.626930236816412,,,automatic,,0,5999,8.6993484,2007,11,2.4533241,0,1,0,0,chicago,old
21,$7700,chicago,chicago city,2008 toyota camry,,4 cylinders,fwd,gas,6.58,,,automatic,,0,7700,8.948975599999999,2008,10,1.8840348000000002,0,0,0,0,chicago,old
22,$7200,chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,11.33,grey,mid-size,automatic,sedan,0,7200,8.8818359,2009,9,2.427454,0,0,1,0,chicago,old
23,$6400,chicago,chicago city,2009 toyota camry xle,excellent,,,gas,16.45036315917969,,,automatic,,0,6400,8.7640533,2009,9,2.8003476000000003,0,1,0,0,chicago,old
24,$2900,chicago,chicago city,2010 toyota camry hybrid,,,,hybrid,30.0,,,automatic,,0,2900,7.972466000000001,2010,8,3.4011974,0,0,0,1,chicago,old
25,$2000,chicago,chicago city,2010 toyota camry le,,,,gas,14.663999557495119,,,automatic,,0,2000,7.6009025999999995,2010,8,2.6853955000000003,1,0,0,0,chicago,old
26,$7000,chicago,chicago city,2013 toyota camry,excellent,4 cylinders,,gas,21.3,white,compact,automatic,sedan,0,7000,8.8536654,2013,5,3.058707,0,0,0,0,chicago,new
27,$14900,chicago,chicago city,2014 Toyota Camry XLE,like new,4 cylinders,fwd,gas,4.1539,silver,mid-size,automatic,sedan,0,14900,9.6091166,2014,4,1.4240476999999998,0,1,0,0,chicago,new
28,$2000,chicago,chicago city,2009 Toyota Camry,like new,6 cylinders,fwd,gas,16.45036315917969,,,automatic,sedan,0,2000,7.6009025999999995,2009,9,2.8003476000000003,0,0,0,0,chicago,old
29,$3030,chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,14.663999557495119,black,full-size,automatic,sedan,0,3030,8.0163183,2010,8,2.6853955000000003,0,1,0,0,chicago,old
30,$3100,chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,,gas,13.0756,grey,,automatic,sedan,0,3100,8.0391569,2004,14,2.5707478999999998,0,0,0,0,chicago,old
31,$15490,chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,4.8192,white,,automatic,,0,15490,9.647950199999999,2016,2,1.572608,1,0,0,0,chicago,new
32,$3600,chicago,chicago city,2002 toyota camry le,like new,6 cylinders,,gas,12.1,grey,,automatic,sedan,0,3600,8.1886892,2002,16,2.4932055,1,0,0,0,chicago,old
33,$3750,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3750,8.2295113,2002,16,2.8559299,1,0,0,0,chicago,old
34,$4400,chicago,chicago N,2005 toyota camry,good,4 cylinders,fwd,gas,12.3,,,automatic,sedan,0,4400,8.3893595,2005,13,2.5095992000000003,0,0,0,0,chicago,old
35,$6300,chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,15.6,black,full-size,automatic,sedan,0,6300,8.748305300000002,2011,7,2.7472708,0,0,1,0,chicago,new
36,$1700,chicago,chicago N,1998 Toyota Camry LE,good,,,gas,17.5626,brown,mid-size,automatic,sedan,0,1700,7.4383836,1998,20,2.8657715,1,0,0,0,chicago,old
37,$8955,chicago,chicago suburbs,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,8.1388,white,mid-size,automatic,sedan,1,8955,9.099967,2009,9,2.0966427,0,0,0,1,chicago,old
38,$850,chicago,chicago suburbs,1997 Toyota Camry,,,,gas,18.7007999420166,,,automatic,,0,850,6.7452364000000005,1997,21,2.9285662,0,0,0,0,chicago,old
39,$2000,chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,20.2,,full-size,automatic,sedan,0,2000,7.6009025999999995,2000,18,3.0056827,0,0,0,0,chicago,old
40,$2250,chicago,chicago suburbs,2001 toyota camry,like new,,,gas,16.4,,,automatic,,0,2250,7.7186856,2001,17,2.7972813,0,0,0,0,chicago,old
41,$2500,chicago,chicago suburbs,2006 Toyota Camry Solara,good,4 cylinders,fwd,gas,18.5,blue,mid-size,automatic,coupe,0,2500,7.8240460999999994,2006,12,2.9177706000000003,0,0,0,0,chicago,old
42,$7400,chicago,chicago suburbs,2008 toyota camry hybrid,,,,gas,10.4841,,,automatic,,0,7400,8.909235,2008,10,2.3498597,0,0,0,1,chicago,old
43,$7500,chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,14.663999557495119,silver,mid-size,automatic,sedan,0,7500,8.922658,2010,8,2.6853955000000003,1,0,0,0,chicago,old
44,$10590,chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,7.5294,red,,automatic,,0,10590,9.2676659,2012,6,2.0188153000000004,0,0,0,0,chicago,new
45,$2800,chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,sedan,0,2800,7.9373746,2002,16,2.3513752999999995,0,0,0,0,chicago,old
46,$2800,chicago,chicago suburbs,2002 toyota camry,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,,0,2800,7.9373746,2002,16,2.3513752999999995,0,0,0,0,chicago,old
47,$1000,chicago,chicago suburbs,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,18.242,,,automatic,sedan,0,1000,6.9077554,1995,23,2.9037266,1,0,0,0,chicago,old
48,$600,chicago,chicago suburbs,1997 toyota camry le,fair,4 cylinders,fwd,gas,17.7,grey,,automatic,sedan,0,600,6.3969297,1997,21,2.8735647,1,0,0,0,chicago,old
49,$1850,chicago,chicago suburbs,1998 Toyota Camry LX,excellent,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.5229411,1998,20,2.7650604,0,0,0,0,chicago,old
50,$1850,chicago,chicago suburbs,1998 Toyota Camry LX,good,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.5229411,1998,20,2.7650604,0,0,0,0,chicago,old
51,$6500,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6500,8.7795572,2008,10,2.3887627,1,0,0,0,chicago,old
52,$2400,chicago,indiana NW,2005 Toyota Camry XLE,good,6 cylinders,fwd,gas,16.5,silver,mid-size,automatic,,0,2400,7.783224099999999,2005,13,2.8033605,0,1,0,0,chicago,old
53,$3950,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3950,8.2814713,2005,13,2.76001,1,0,0,0,chicago,old
54,$3985,chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,10.148,,,automatic,sedan,1,3985,8.2902927,1997,21,2.3172767000000003,0,0,0,0,chicago,old
55,$2000,chicago,chicago S,1999 toyota camry,,,,gas,17.01991844177246,,,automatic,,0,2000,7.6009025999999995,1999,19,2.8343844,0,0,0,0,chicago,old
56,$1400,chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,16.7,black,compact,automatic,sedan,0,1400,7.244227400000001,2000,18,2.8154087000000003,0,1,0,0,chicago,old
57,$3980,chicago,chicago S,2001 Toyota Camry,,,,gas,11.3159,,,automatic,,0,3980,8.2890368,2001,17,2.4262087,0,0,0,0,chicago,old
58,$5900,chicago,chicago S,2009 toyota camry hybrid,good,,fwd,gas,20.7,blue,full-size,other,sedan,0,5900,8.682707800000001,2009,9,3.0301337000000004,0,0,0,1,chicago,old
59,$6500,chicago,chicago S,2011 toyota camry,,,,gas,10.32304763793945,,,automatic,,0,6500,8.7795572,2011,7,2.334379,0,0,0,0,chicago,new
60,$8900,chicago,chicago S,2008 toyota camry,,,,gas,12.54811191558838,red,,automatic,,0,8900,9.0938063,2008,10,2.5295701,0,0,0,0,chicago,old
61,$2000,chicago,chicago S,1999 Toyota camry,,,,gas,17.01991844177246,,,automatic,,0,2000,7.6009025999999995,1999,19,2.8343844,0,0,0,0,chicago,old
62,$2400,chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,16.6457,grey,mid-size,automatic,sedan,1,2400,7.783224099999999,2000,18,2.8121519,0,0,0,0,chicago,old
63,$5999,chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,13.2572,silver,full-size,automatic,sedan,1,5999,8.6993484,2009,9,2.5845408,1,0,0,0,chicago,old
64,$9300,chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,9.0653,green,full-size,automatic,sedan,1,9300,9.137769699999998,2011,7,2.2044539,0,1,0,0,chicago,new
65,$11877,chicago,chicago W,2012 TOYOTA CAMRY HYBRID XLE,excellent,4 cylinders,fwd,hybrid,11.2707,white,mid-size,automatic,,1,11877,9.3823595,2012,6,2.4222064,0,1,0,1,chicago,new
66,$10500,chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.2628,grey,mid-size,automatic,sedan,1,10500,9.2591305,2013,5,1.8346273999999998,0,0,0,0,chicago,new
67,$12900,chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,5.2482,black,mid-size,automatic,sedan,1,12900,9.464983,2016,2,1.6578852,0,0,0,0,chicago,new
68,$3300,chicago,chicago W,2004 Toyota camry,,,,gas,15.408045768737788,,,automatic,,0,3300,8.1016779,2004,14,2.7348897,0,0,0,0,chicago,old
69,$4400,chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,silver,mid-size,automatic,sedan,0,4400,8.3893595,2004,14,2.3513752999999995,1,0,1,0,chicago,old
70,$2074,chicago,chicago W,2010 TOYOTA CAMRY,,,,gas,14.663999557495119,,,automatic,,0,2074,7.637234200000001,2010,8,2.6853955000000003,0,0,0,0,chicago,old
71,$800,chicago,chicago W,2000 TOYOTA CAMRY,,4 cylinders,,gas,16.83345794677734,,,automatic,,0,800,6.6846118,2000,18,2.8233685,0,0,0,0,chicago,old
72,$5985,chicago,chicago W,2002 Toyota Camry Solara,excellent,,,gas,7.7734,,,automatic,,0,5985,8.697011900000001,2002,16,2.0507076,0,0,0,0,chicago,old
73,$5300,chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,13.8,silver,,automatic,sedan,0,5300,8.5754623,2002,16,2.6246686,0,1,0,0,chicago,old
74,$2700,chicago,chicago W,2003 Toyota Camry,good,4 cylinders,fwd,gas,21.8,grey,,automatic,,0,2700,7.9010072000000005,2003,15,3.0819099,0,0,0,0,chicago,old
75,$3600,chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,16.8,red,compact,automatic,coupe,0,3600,8.1886892,2004,14,2.8213789,0,0,0,0,chicago,old
76,$5250,chicago,chicago W,2008 toyota camry,excellent,4 cylinders,fwd,gas,17.7,grey,,automatic,sedan,0,5250,8.5659838,2008,10,2.8735647,0,0,0,0,chicago,old
77,$6750,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,6750,8.8172979,2009,9,2.5533438,0,0,0,0,chicago,old
78,$3200,chicago,chicago W,2011 toyota camry hybrid,good,4 cylinders,fwd,hybrid,35.0,white,,automatic,sedan,0,3200,8.0709057,2011,7,3.5553482000000005,0,0,0,1,chicago,new
79,$9995,chicago,chicago W,2012 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,white,full-size,automatic,sedan,0,9995,9.2098398,2012,6,2.3513752999999995,0,0,1,0,chicago,new
80,$1300,chicago,chicago W,1994 Toyota Camry,,,,gas,13.8,,,automatic,,0,1300,7.1701198,1994,24,2.6246686,0,0,0,0,chicago,old
81,$2071,chicago,chicago W,2010 TOYOTA CAMRY,,,,gas,14.663999557495119,,,automatic,,0,2071,7.635787,2010,8,2.6853955000000003,0,0,0,0,chicago,old
82,$1300,chicago,chicago W,1993 toyota camry,good,6 cylinders,fwd,gas,15.1,,,automatic,,0,1300,7.1701198,1993,25,2.7146947,0,0,0,0,chicago,old
83,$2799,chicago,chicago S,1999 TOYOTA CAMRY,,4 cylinders,,gas,13.9745,white,,automatic,sedan,1,2799,7.9370174,1999,19,2.6372342,0,0,0,0,chicago,old
84,$2800,chicago,chicago N,1997 Toyota Camry,,,,gas,18.7007999420166,,,automatic,,0,2800,7.9373746,1997,21,2.9285662,0,0,0,0,chicago,old
85,$2200,chicago,chicago city,1993 Toyota Camry,,,,gas,21.91666603088379,,,automatic,,0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,chicago,old
86,$7250,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,7250,8.888756800000001,2009,9,2.5533438,0,0,0,0,chicago,old
87,$16900,chicago,indiana NW,2017 Toyota Camry SE,,,,gas,1.8728166818618768,,,automatic,,1,16900,9.735069300000001,2017,1,0.62744355,0,0,1,0,chicago,new
88,$1600,chicago,indiana NW,1998 1998 TOYOTA CAMRY,,,,gas,16.82425880432129,,,automatic,,0,1600,7.377758999999999,1998,20,2.8228218999999997,0,0,0,0,chicago,old
89,$9449,chicago,chicago W,2012 TOYOTA CAMRY,,,fwd,other,11.2143,black,,automatic,sedan,1,9449,9.153664599999999,2012,6,2.4171897999999996,0,0,0,0,chicago,new
90,$2200,chicago,chicago W,2001 toyota camry,good,4 cylinders,fwd,gas,14.6,silver,mid-size,automatic,sedan,0,2200,7.6962128,2001,17,2.6810215,0,0,0,0,chicago,old
91,$2700,chicago,chicago N,1993 Toyota Camry XLE V6,,,,gas,21.91666603088379,black,,automatic,sedan,0,2700,7.9010072000000005,1993,25,3.0872474,0,1,0,0,chicago,old
92,$7700,chicago,chicago city,2008 toyota camry hybrid,,4 cylinders,fwd,gas,6.58,,,automatic,,0,7700,8.948975599999999,2008,10,1.8840348000000002,0,0,0,1,chicago,old
93,$1600,chicago,chicago city,1998 toyota camry,,,,gas,16.82425880432129,,,automatic,,0,1600,7.377758999999999,1998,20,2.8228218999999997,0,0,0,0,chicago,old
94,$10900,chicago,chicago suburbs,2007 TOYOTA CAMRY SOLARA,,,fwd,other,8.3804,,,automatic,convertible,1,10900,9.2965183,2007,11,2.1258957,0,0,0,0,chicago,old
95,$1500,chicago,chicago city,2007 toyota camry,,6 cylinders,fwd,gas,11.626930236816412,grey,full-size,automatic,,0,1500,7.3132205,2007,11,2.4533241,0,0,0,0,chicago,old
96,$3550,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3550,8.1747026,2002,16,2.8559299,1,0,0,0,chicago,old
97,$3200,chicago,chicago city,2004 TOYOTA CAMRY LE,excellent,4 cylinders,fwd,gas,11.9,white,,automatic,sedan,0,3200,8.0709057,2004,14,2.4765384,1,0,0,0,chicago,old
98,$3200,chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,17.5,green,mid-size,automatic,sedan,0,3200,8.0709057,2002,16,2.8622009999999998,0,0,0,0,chicago,old
99,$14000,chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,6.0215,grey,,automatic,,0,14000,9.546813,2015,3,1.7953363999999998,1,0,0,0,chicago,new
100,$5800,chicago,indiana NW,2007 Toyota Camry,good,,,gas,13.0,,,automatic,,0,5800,8.6656132,2007,11,2.5649493,0,0,0,0,chicago,old
101,$6929,chicago,chicago suburbs,2003 TOYOTA CAMRY LE,,,,gas,6.5756,,,automatic,,0,6929,8.8434706,2003,15,1.8833659,1,0,0,0,chicago,old
102,$1900,chicago,chicago W,2000 toyota camry solara,,,,gas,16.83345794677734,,,automatic,,0,1900,7.549609200000001,2000,18,2.8233685,0,0,0,0,chicago,old
103,$2700,chicago,chicago N,1993 Toyota Camry XLE V6,,,,gas,21.91666603088379,,,automatic,,0,2700,7.9010072000000005,1993,25,3.0872474,0,1,0,0,chicago,old
104,$2200,chicago,chicago N,1993 Toyota Camry,,,,gas,21.91666603088379,,,automatic,,0,2200,7.6962128,1993,25,3.0872474,0,0,0,0,chicago,old
105,$8300,chicago,indiana NW,2011 Toyota Camry,,,,gas,10.32304763793945,,,automatic,,0,8300,9.024010699999998,2011,7,2.334379,0,0,0,0,chicago,new
106,$7700,chicago,chicago city,2008 Toyota camry,,,,gas,8.5,,,automatic,,0,7700,8.948975599999999,2008,10,2.1400661,0,0,0,0,chicago,old
107,$8300,chicago,chicago city,2011 Toyota Camry,,,,gas,10.32304763793945,,,automatic,,0,8300,9.024010699999998,2011,7,2.334379,0,0,0,0,chicago,new
108,$18495,chicago,chicago S,2017 toyota camry,excellent,4 cylinders,4wd,gas,0.2319,,,automatic,sedan,1,18495,9.8252554,2017,1,-1.461449,0,0,0,0,chicago,new
109,$2069,chicago,chicago S,2010 TOYOTA CAMRY,,,,gas,14.663999557495119,,,automatic,,0,2069,7.6348205,2010,8,2.6853955000000003,0,0,0,0,chicago,old
110,$4400,chicago,chicago N,2005 toyota camry,excellent,4 cylinders,fwd,gas,12.3,,full-size,automatic,sedan,0,4400,8.3893595,2005,13,2.5095992000000003,0,0,0,0,chicago,old
111,$3900,chicago,chicago city,2004 Toyota Camry,good,4 cylinders,,gas,13.6559,black,,automatic,sedan,0,3900,8.2687321,2004,14,2.6141717,0,0,0,0,chicago,old
112,$5500,chicago,chicago S,2008 toyota camry hybrid,like new,4 cylinders,,gas,25.7,black,,automatic,,0,5500,8.6125031,2008,10,3.246491,0,0,0,1,chicago,old
113,$4500,chicago,chicago N,2002 toyota camry solara convertible,good,6 cylinders,,gas,10.3245,,,automatic,,0,4500,8.4118328,2002,16,2.3345196,0,0,0,0,chicago,old
114,$4500,chicago,chicago S,2007 toyota camry solara,excellent,4 cylinders,fwd,gas,15.9,silver,,automatic,coupe,0,4500,8.4118328,2007,11,2.7663189999999998,0,0,0,0,chicago,old
115,$2500,chicago,chicago suburbs,2005 toyota camry,fair,6 cylinders,4wd,gas,22.8,grey,full-size,automatic,sedan,0,2500,7.8240460999999994,2005,13,3.1267605,0,0,0,0,chicago,old
116,$1500,chicago,chicago city,1998 toyota camry,,,,gas,16.82425880432129,,,automatic,,0,1500,7.3132205,1998,20,2.8228218999999997,0,0,0,0,chicago,old
117,$14491,chicago,chicago W,2015 Toyota Camry,,4 cylinders,fwd,gas,4.96,white,,automatic,sedan,1,14491,9.5812826,2015,3,1.6014057,0,0,0,0,chicago,new
118,$3700,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3700,8.216088300000001,2005,13,2.76001,1,0,0,0,chicago,old
119,$1500,chicago,indiana NW,2004 Toyota camry,,,,gas,15.408045768737788,,,automatic,,0,1500,7.3132205,2004,14,2.7348897,0,0,0,0,chicago,old
120,$1500,chicago,indiana NW,2001 toyota camry,fair,6 cylinders,fwd,gas,18.0,,full-size,automatic,,0,1500,7.3132205,2001,17,2.8903717999999996,0,0,0,0,chicago,old
121,$6499,chicago,chicago suburbs,2009 Toyota Camry,,4 cylinders,fwd,gas,11.8068,black,mid-size,automatic,sedan,1,6499,8.7794037,2009,9,2.4686756,0,0,0,0,chicago,old
122,$9995,chicago,chicago city,2007 toyota camry le,excellent,4 cylinders,fwd,gas,11.626930236816412,blue,mid-size,automatic,,1,9995,9.2098398,2007,11,2.4533241,1,0,0,0,chicago,old
123,$11386,chicago,chicago suburbs,2012 Toyota Camry,,4 cylinders,fwd,gas,8.0504,silver,mid-size,automatic,sedan,1,11386,9.3401394,2012,6,2.0857217,0,0,0,0,chicago,new
124,$13906,chicago,chicago W,2015 Toyota Camry,,4 cylinders,fwd,gas,6.1448,black,mid-size,automatic,sedan,1,13906,9.540075300000002,2015,3,1.8156061999999997,0,0,0,0,chicago,new
125,$4950,chicago,chicago S,2006 toyota camry solara convertible,excellent,6 cylinders,fwd,gas,14.0,silver,mid-size,automatic,convertible,0,4950,8.507143,2006,12,2.6390574,0,0,0,0,chicago,old
126,$5390,chicago,chicago W,2007 toyota camry le,excellent,4 cylinders,fwd,gas,14.55,yellow,,automatic,sedan,0,5390,8.592300400000001,2007,11,2.6775911,1,0,0,0,chicago,old
127,$1800,chicago,chicago city,1998 toyota camry,good,,fwd,gas,16.82425880432129,green,full-size,automatic,sedan,1,1800,7.4955419999999995,1998,20,2.8228218999999997,0,0,0,0,chicago,old
128,$6995,chicago,chicago suburbs,2009 Toyota Camry SE,good,4 cylinders,fwd,gas,12.4,red,mid-size,automatic,sedan,0,6995,8.852951,2009,9,2.5176964,0,0,1,0,chicago,old
129,$500,chicago,chicago city,2011 toyota camry xle,,,,gas,10.32304763793945,,,automatic,,1,500,6.2146082,2011,7,2.334379,0,1,0,0,chicago,new
130,$6000,chicago,chicago city,2005 toyota camry le,good,4 cylinders,fwd,gas,12.1,silver,full-size,automatic,sedan,0,6000,8.6995144,2005,13,2.4932055,1,0,0,0,chicago,old
131,$13995,chicago,chicago S,2014 toyota camry,excellent,4 cylinders,4wd,gas,3.9298,white,,automatic,sedan,1,13995,9.546455400000001,2014,4,1.3685886,0,0,0,0,chicago,new
132,$4900,chicago,chicago city,2008 Toyota_ Camry_ Solara_,excellent,6 cylinders,fwd,gas,15.5386,black,sub-compact,automatic,convertible,1,4900,8.496990199999999,2008,10,2.7433271,0,0,0,0,chicago,old
133,$6490,chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,11.5515,silver,mid-size,automatic,sedan,1,6490,8.778018,2007,11,2.4468153,0,0,0,0,chicago,old
134,$12500,chicago,chicago city,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.3,silver,mid-size,automatic,sedan,1,12500,9.4334841,2013,5,1.8405496,0,0,0,0,chicago,new
135,$5500,chicago,chicago suburbs,2004 toyota camry,,,,gas,13.4333,,,automatic,sedan,1,5500,8.6125031,2004,14,2.5977366,0,0,0,0,chicago,old
136,$6000,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6000,8.6995144,2008,10,2.3887627,1,0,0,0,chicago,old
137,$12000,chicago,chicago S,2013 toyota camry se,good,4 cylinders,,gas,7.6,silver,,automatic,,0,12000,9.392662,2013,5,2.0281482,0,0,1,0,chicago,new
138,$3499,chicago,chicago suburbs,2002 toyota camry,good,6 cylinders,fwd,gas,16.2,red,,automatic,convertible,0,3499,8.1602325,2002,16,2.7850113,0,0,0,0,chicago,old
139,$1000,chicago,chicago suburbs,1999 toyota camry le,good,6 cylinders,,gas,16.3,,,automatic,,0,1000,6.9077554,1999,19,2.7911651,1,0,0,0,chicago,old
